Gene,MeanAbsSHAP
GSDMA,0.0014701345951736913
DNAH5,0.0014693856628658372
CLDN8,0.001467945632433359
KIAA1324L,0.0014657480726762392
NAT1,0.001463938059981097
DUSP13,0.001463459935048977
RASD2,0.0014622428124298715
C5orf23,0.0014607722466981462
CHRM3,0.0014600217036173251
LOC100133545,0.001459467913416764
HEATR4,0.0014578577507349008
AMIGO2,0.001457820344258841
C2orf50,0.0014573684965575417
SMC1B,0.0014573055336136855
GRAMD1B,0.0014570761020965821
RASD1,0.001457019348009197
PADI3,0.0014565832885959178
DISP2,0.001456126293403612
B3GALT5,0.0014552980052479193
IGSF22,0.00145452698124006
PAPL,0.001454166064713489
PRRT3,0.0014537899808702707
SOX11,0.001453167828839044
ZNF541,0.001453024601326547
LOC145820,0.0014529670619872882
CYR61,0.001452599034132302
TMEM105,0.0014524518767940562
SLC7A4,0.0014515550815602297
ASAH2B,0.0014499200528280908
GADD45G,0.0014486368513189519
C6orf97,0.0014475263371454931
GPR37L1,0.0014459086656942559
THSD4,0.0014448992103047607
IGFALS,0.001444467681948759
PROM1,0.0014437327732108448
COMP,0.0014429896283873391
MGC29506,0.0014426576386884764
VGLL1,0.0014422991021300882
KRT75,0.0014414598148889013
C6orf176,0.001440895821596813
TPM2,0.0014387443680448087
NXPH1,0.0014387239974424976
MID1,0.0014376373949984453
BOC,0.0014371561165161337
FAM3B,0.0014361115864484002
AIF1L,0.0014356935033655008
GPR143,0.0014354963616376103
TRH,0.001434312947398237
CX3CL1,0.0014340857812107466
REEP1,0.0014305753101906602
ITGB6,0.0014282114839926092
MYOM3,0.001426764253087789
NDC80,0.0014264872661954088
KIAA1467,0.0014259470629845734
ARHGAP11B,0.0014258210941966985
HS6ST3,0.0014255584170816368
FAM110C,0.001421784286450942
ESPL1,0.0014209744691296717
CLEC4F,0.0014203594616462823
ZNF750,0.001420098208085897
RHBDL1,0.0014192621942369342
DDX25,0.001418006945311529
EPHA10,0.0014177215312344061
TMEM63C,0.0014159249544540558
KMO,0.0014155170981287786
CD27,0.001415481097487417
LOC388588,0.0014146811486188287
LRP1B,0.001414631919209608
CALCR,0.0014131050770964117
LOC221442,0.0014130891852311657
SLC38A3,0.0014130775126663052
ADRA1A,0.001412081749333538
PLCH1,0.001411744279682302
CST1,0.0014108752660420343
DEPDC1B,0.0014106527716652155
SIGLEC1,0.0014105860673881113
AURKA,0.0014096911338697283
GLYATL1,0.0014092960550371458
ALDH1L1,0.0014073515450110227
HOXB13,0.0014060776093831212
CD207,0.0014054179373950938
RASSF10,0.0014053055297024583
CNIH2,0.0014046589960843095
NEUROG2,0.0014043217509915784
ALG1L,0.00140319497983291
CHODL,0.0014026413249145738
SH3GL3,0.0014018307337235253
EGF,0.0014017025661565363
GSDMB,0.0014015196281965657
CILP2,0.0014011468463909042
E2F7,0.0014009233997578955
KISS1R,0.0013997430045317098
PTTG1,0.00139967931676463
KCNK15,0.0013996314360895212
CPA4,0.0013993419681810337
ST6GAL1,0.0013986820178371001
HSPA4L,0.0013984519729198217
RDM1,0.0013982242918354852
COL10A1,0.001397485386490121
CCNA1,0.0013972440737231374
QPRT,0.0013970570835855117
TNFRSF17,0.0013966927231434864
LOC728606,0.0013951253384700774
B4GALNT4,0.0013937784698703757
LEPREL1,0.0013937625682659573
PAX9,0.001393666271558421
SCD,0.001392826996980132
LOC84856,0.0013924325950539225
GBP6,0.0013917540921731192
GLRA3,0.0013915299411800042
C1orf226,0.0013913687832882715
METTL7B,0.001390044638978654
TRPV4,0.001389764987014609
SPINK4,0.0013885751259219128
ODZ1,0.0013883584304082714
RCAN1,0.0013882442403339863
GALNTL1,0.0013881119090490934
SOX8,0.0013879729547034635
IL1F5,0.00138371800445264
NCRNA00160,0.0013828491782229928
SATB2,0.0013824816403762775
EGLN3,0.0013821370803945065
ALDH3B2,0.0013819040214636362
ANLN,0.0013817216006171485
BEX5,0.001380894748562669
TUBA3D,0.0013789020225279378
LRRC24,0.001378227561128161
CENPW,0.0013770329561156006
BNIPL,0.0013761980482872756
C9orf122,0.0013761382001361098
OTOF,0.0013756515012013854
IL19,0.0013736895073230295
GPC3,0.0013714284267415957
C1orf113,0.0013713076264213302
BEND7,0.0013703961276629823
MMP11,0.0013702135247569912
BCAN,0.0013700220061827573
FCRLB,0.0013686488334061645
GATM,0.001368379027179382
HERC2P4,0.001367544466158045
ADCYAP1,0.001366911372329898
NEK2,0.0013661396951030092
TMPRSS2,0.001365869484593279
FZD9,0.00136567719776737
CHRNA1,0.001365463325506274
SLC39A6,0.00136483730409509
ZNF572,0.0013647870322055647
KCNK3,0.0013647048019268995
GAPT,0.0013636391883604265
PLA2G5,0.0013635254161889698
KLK6,0.0013633736038681022
THRSP,0.0013632879033164298
GAS2,0.001362582721007044
KIAA1257,0.0013618191274731195
C8orf4,0.0013610230853840241
LOC100128977,0.0013594955665455347
KIAA0319,0.0013592584321413723
TPSD1,0.0013589991628524306
SLC5A1,0.0013574268293240267
KRTCAP3,0.0013567026825228369
C8orf79,0.001355712599648958
SPIB,0.001354432474668362
KCNK5,0.0013539165438145695
RECQL4,0.0013526746819874486
KRT17,0.001351437099873307
DPYSL4,0.0013511067875896978
LIMCH1,0.0013508794852838612
CCNE2,0.001350026705765433
ATAD3C,0.0013493966922662063
TMEM61,0.0013493754462966005
AMY1A,0.0013493528092359006
OR7A5,0.0013489662025571805
SLC16A9,0.0013480288399692756
NCRNA00052,0.0013476233233750455
ATP13A4,0.0013475730779804154
SOX9,0.0013473289813455203
LINGO4,0.0013463126914451526
TDRD12,0.0013458403012167608
IGF2BP1,0.0013456656266054917
C14orf53,0.0013438948761085436
CKB,0.001341830432958899
CNKSR3,0.0013412313531186253
FGF18,0.001341137286554941
C6orf155,0.0013377068625010857
MUC15,0.0013367765478674897
CEBPD,0.0013360636067211039
C1orf194,0.0013352791629311393
KIAA0802,0.0013347315876301657
GRIA4,0.0013328484626691128
B3GNT7,0.0013326895773452128
CACNA1G,0.001330854315756369
