Gene,Variance
TMPRSS3,6.816129947611431
C3orf57,6.815550053330559
KRT4,6.810801596438781
FUT3,6.810284910710502
PPP1R14C,6.809482842775367
SLC26A3,6.804142352217092
VSIG2,6.792662858263025
TTYH1,6.787780025232887
AREG,6.782931793419925
PRSS21,6.760652532511994
TFPI2,6.758645378256632
SLC28A3,6.755264066347832
SHISA9,6.739870572669955
EDN3,6.727774288548155
POF1B,6.676618224323393
TPSG1,6.6764546052826015
ATP13A4,6.6181408261751375
PLCH1,6.61338678291741
HSD17B2,6.61314166359736
VIPR2,6.6001278818365305
DKK1,6.592559480352305
NPY5R,6.591516523394537
SCARA5,6.58821007319974
CHRDL1,6.57932400208577
AR,6.553249839252575
DCX,6.550139793581799
CCNO,6.539062506805063
TDRD1,6.52718400010984
FGG,6.503294668973275
DLX2,6.501698507224425
AQP7,6.4929327399046475
S100A2,6.487554412973772
TSIX,6.481300892482821
F7,6.480308980738259
MAPK4,6.472667515912732
AFF3,6.47249816917396
SYNPO2L,6.467984071029459
CACNG4,6.463895343945577
MYT1,6.462840406865753
CD300LG,6.462300872660668
FAM83E,6.460939567220471
LOC642587,6.454599921351469
DCDC2,6.451050106967211
AKR1B10,6.449250946613715
RBP4,6.419322916535949
PPP1R1A,6.41689482542484
SPAG17,6.399291801174372
TMEM132C,6.382595354855006
CXADRP3,6.378711522984856
EPYC,6.3784594429142745
AKR1C2,6.371951835350976
MMP7,6.364632463970801
ABCA8,6.360160136366919
PCDHA11,6.355999305010662
PP14571,6.352836052552376
C2orf40,6.3237019601114985
NTNG1,6.31526040171148
SOX2,6.314488439239191
OGN,6.307194539517881
IYD,6.303778135109024
CNTFR,6.302332809573337
ADCY5,6.300951406075969
SBSN,6.297781500251452
ZFP57,6.285855445059596
ZNF385B,6.278052550103985
FGFBP1,6.263263684757621
PHGR1,6.259691415539853
HRASLS5,6.248418228139459
PIK3C2G,6.248161655399926
SLC19A3,6.245741497353745
ANKRD43,6.24546803306328
KCNG1,6.244297707190069
TLX1,6.224996876721418
NEURL,6.220491761428491
CHI3L2,6.216803975478411
FAM83A,6.214801493824501
PCDHA12,6.208432983410903
CHGA,6.208027833709267
TUBA3E,6.200639265403488
HPX,6.196746348362706
CYP4F11,6.194288169810431
WT1,6.187874748848194
PCOLCE2,6.183009774230693
SHISA2,6.161203424266142
CD177,6.155837845104171
PART1,6.154425297591984
LGR6,6.15251077843535
PLA2G2D,6.151992675843928
TTC36,6.142324365934315
FAT2,6.114804008239744
HOXC10,6.104786153748408
DEFB1,6.101117549684774
RET,6.097011422958099
NELL2,6.092679476841327
GABBR2,6.091023963463505
BCL11A,6.090841651262227
GRM4,6.088590129115417
SEZ6L,6.086933508792589
MKRN3,6.083776023601037
TBC1D3G,6.0817631709263855
SMOC1,6.080009333094523
RIMS2,6.07326663753658
UGT8,6.07237130931535
CXCL14,6.062795548756119
SCRG1,6.059131431805838
UGT2B28,6.058907136055737
CRYM,6.047184014838765
GLYATL1,6.043466059046341
APOD,6.0421417899547905
MS4A8B,6.040044652390595
TSPAN1,6.036448497909631
FUT6,6.0343366999721635
S100A1,6.024757409120959
NKX2-2,6.020529469337825
DOK7,6.018890154706839
SLC6A15,6.013306496742508
PCDH10,6.011792715138276
KCNF1,6.011570071755488
TOX3,6.004730991428682
MKX,5.993988732931842
FGF10,5.98597877152393
SLC6A11,5.976019042449747
CCL18,5.9703793961095295
RHCG,5.968971840393223
TPSD1,5.966815750951365
HP,5.948439641239277
RASAL1,5.942510448410479
FBN3,5.940116059177992
AFP,5.915123073555307
NOVA1,5.9089348857840305
CTNND2,5.897113579536062
MAPT,5.890671246206818
LOC389033,5.8906306167538
PLA2G3,5.885586874186577
ABCC12,5.880371131532485
SCNN1G,5.862354766183929
IRX1,5.85339496033462
SCGN,5.850904359244528
LGALS12,5.849654880566584
SLC15A1,5.837135086763359
CLGN,5.836924123007654
LY6K,5.835887427493889
MAGEA1,5.833845577610122
PCSK1,5.829896451268418
CECR2,5.822172860619004
CPLX2,5.821910853830351
TMEM40,5.820499104851027
C1orf106,5.820074836176341
B3GNT3,5.820043477949592
PTCHD1,5.805285688440828
MMP10,5.803156075178007
ZBTB16,5.801302904894891
SPDEF,5.799117188649865
IRX4,5.791120094076643
CD79A,5.778664341979109
DACH1,5.775965554552497
C6,5.772925642465198
TMEM213,5.76724019682212
GPRIN2,5.759148218970185
NMU,5.750460784255095
ADAM6,5.746863874441851
SHC4,5.741692143492974
FCRL5,5.741685414965093
CPA6,5.729865412832186
ADAMTS15,5.7207750499292604
COL9A3,5.7186978662974415
FLT3,5.704868528557717
PAH,5.689340927175549
PLIN5,5.685840361980186
GJB3,5.680638618573885
SLC27A6,5.677121660192536
SOX11,5.675813857672219
DES,5.671968488946235
LOC339535,5.669873002358586
PEG3,5.66629688240497
NTS,5.66130186871006
ADAMTS19,5.657429480465611
GATA4,5.6573529254402795
CD19,5.650354582725122
HAPLN1,5.646367485388946
CAPN9,5.6398190771719205
CLSTN2,5.639604971315114
FERMT1,5.63572130113651
SEMA3E,5.629493918288615
PDZK1IP1,5.625280369884631
TP63,5.620645056673429
PSAT1,5.619031200337025
EMX1,5.615910436763623
LOC440905,5.611872064147999
TNFSF12-TNFSF13,5.611379588041893
CHRM1,5.590208645776732
ACTG2,5.586736149083164
CXorf61,5.5816314110951675
PRG4,5.579898761552034
DLGAP1,5.572313837253721
MAOB,5.5666755692347865
CXCL9,5.5600127337322665
CAPN13,5.559383119834182
TNNI3,5.558560897746149
SLC1A1,5.554827802742978
PAX2,5.551508935179218
TIMP4,5.5481301766708295
LRRC26,5.543599037274566
GNG4,5.537246877240094
UNC5A,5.52364810289405
ATP1A2,5.522307638989686
SERHL2,5.520411861881089
LOC84740,5.516241840123191
DEGS2,5.502669606944026
SLC44A5,5.495863638623982
DLX1,5.494925139058565
PCDHA10,5.481710020162335
S100B,5.481660262982913
CHI3L1,5.473090280815034
FAM3D,5.472623275927592
MAGEA4,5.4688061103736265
DNALI1,5.458168656551379
SERPINB2,5.4570370643106045
C2orf82,5.457035888476722
SPINK8,5.4557936049602915
DBC1,5.453030051467933
GRIA1,5.448899242697798
MYO3B,5.443134523157587
IL12RB2,5.432014921328447
COCH,5.4290715517465795
VWDE,5.424228878363865
DNER,5.423409275028498
KRT7,5.422320950022204
LOC145837,5.411834867285642
RNF183,5.40164214891674
